mmsi,imo,collectionType,timestamp,latitude,longitude,name,shipType
574004750,9400899.0,DYNAMIC,2023-02-12T13:59:21.000Z,16.51298333,69.82676667,,
368121960,0.0,DYNAMIC,2023-02-12T14:01:02.000Z,29.98761833,-93.797145,,
218824000,9769025.0,TERRESTRIAL,2023-02-12T14:02:29.000Z,54.03690667,6.02295333,,
211649550,0.0,TERRESTRIAL,2023-02-12T14:02:06.227Z,51.26655667,4.33050333,,
412433125,,TERRESTRIAL,2023-02-12T14:02:29.000Z,24.62209,118.83612167,,
413856985,0.0,TERRESTRIAL,2023-02-12T14:02:18.000Z,31.77229333,118.45918667,,
255805967,9347762.0,TERRESTRIAL,2023-02-12T14:02:01.831Z,28.13638667,-13.63453667,,
353675000,9070735.0,TERRESTRIAL,2023-02-12T14:02:20.507Z,42.73889667,133.064455,,
412410561,,DYNAMIC,2023-02-12T13:39:05.000Z,31.18621667,123.50428833,,
413833449,,TERRESTRIAL,2023-02-12T14:02:04.000Z,30.27764833,115.07684333,,
224399260,,TERRESTRIAL,2023-02-12T14:02:15.361Z,39.462045,-0.31677167,,
413285680,0.0,TERRESTRIAL,2023-02-12T14:02:12.000Z,22.30051,114.37592,,
413775109,,TERRESTRIAL,2023-02-12T14:02:15.000Z,33.56900333,119.00125333,,
538004215,9334569.0,TERRESTRIAL,2023-02-12T14:00:09.000Z,38.422,24.93036667,,
338347484,,TERRESTRIAL,2023-02-12T14:02:29.580Z,33.45970333,-117.69368667,,
304200000,9362633.0,TERRESTRIAL,2023-02-12T14:02:16.000Z,-33.96348833,25.63276833,,
413856946,,TERRESTRIAL,2023-02-12T14:02:37.000Z,31.72860167,120.24516333,,
203306100,,TERRESTRIAL,2023-02-12T14:01:53.000Z,-27.86220167,153.339645,,
710014030,9690432.0,DYNAMIC,2023-02-12T13:56:09.000Z,-22.83971,-43.14715,,
338422993,,TERRESTRIAL,2023-02-12T14:02:21.791Z,47.67988833,-122.408875,,
503617200,,TERRESTRIAL,2023-02-12T14:02:37.000Z,-27.85324167,153.36337667,,
312897000,9542453.0,TERRESTRIAL,2023-02-12T14:02:21.000Z,37.80395667,121.29862167,,
255919000,9221554.0,TERRESTRIAL,2023-02-12T14:02:08.205Z,59.45076667,24.76245,,
