mmsi,imo,latitude,longitude,source,ts_insert_utc,eeid
368030050,0,13.193127,-167.95584,S-AIS,20230212162727,5882683982619849058
367474080,0,53.828316,-167.1951,S-AIS,20230212162727,4713925112525960608
367488940,0,53.51591,-167.70096,S-AIS,20230212162727,5583823528050257836
566407000,9461881,54.548397,-167.19879,S-AIS,20230212162727,5097319281117540184
303301000,8845767,55.105972,-167.42796,S-AIS,20230212162727,4926949065072312712
440504000,8619326,2.23666,-166.9587,S-AIS,20230212162728,4673716711105597120
563265000,9628348,2.0488768,-166.51572,S-AIS,20230212162727,5039337085179444712
249489000,9702699,12.987554,-166.22177,S-AIS,20230212162728,5015284696777418344
440885000,9019315,13.569266,-166.51434,S-AIS,20230212162727,4917570797960650504
353246000,9875276,30.239222,-166.34668,S-AIS,20230212162727,4843089416350997296
352898746,9911965,36.077995,-166.56802,S-AIS,20230212162728,6295122064177680058
303866000,0,53.9038,-166.52533,S-AIS,20230212162728,4774182919509680272
440686000,8904941,53.860115,-166.57468,S-AIS,20230212162727,4857845326339659184
367028060,0,53.881447,-166.541,S-AIS,20230212162727,5672708048039208796
367137170,607434,53.87921,-166.5415,S-AIS,20230212162727,5936326955914891666
367413000,9133965,53.88112,-166.5411,S-AIS,20230212162728,4915848223943706376
367085680,6018250,53.87735,-166.54886,S-AIS,20230212162727,4865191524228483184
367159580,0,53.891964,-166.53474,S-AIS,20230212162728,5631067343672207644
367714010,9804021,53.881233,-166.54102,S-AIS,20230212162727,6259675733458345690
366916740,7944815,53.870193,-166.55275,S-AIS,20230212162727,5209361753466385540
367528000,7819228,53.879704,-166.55101,S-AIS,20230212162728,4648847218301208640
368251000,7517698,53.857494,-166.58191,S-AIS,20230212162727,5152738004148883576
366978060,7337153,53.868946,-166.55351,S-AIS,20230212162728,5479049965527344140
367124090,8003199,53.911846,-166.50708,S-AIS,20230212162728,6313732123125735034
366946980,7308255,53.905514,-166.51135,S-AIS,20230212162727,5284198912899361444
367561420,0,53.86876,-166.5554,S-AIS,20230212162727,5536126713637407436
366978710,9125750,53.900505,-166.53133,S-AIS,20230212162727,6510374280195188374
367084590,8016536,53.87809,-166.54997,S-AIS,20230212162728,6703786072102487086
366939960,0,54.024597,-166.56825,S-AIS,20230212162727,5133046850405732152
367609850,0,54.259758,-166.0152,S-AIS,20230212162728,6338998900332513274
366752970,8958667,55.552456,-166.31467,S-AIS,20230212162728,6109993718010098890
374740000,9321421,-7.1110067,-165.08675,S-AIS,20230212162727,4686587611334448160
440549000,8916384,2.1831317,-165.93929,S-AIS,20230212162727,4926674754238299784
357533000,9711729,32.00202,-165.93266,S-AIS,20230212162728,4947341260610307400
477455200,9848754,37.732807,-165.07872,S-AIS,20230212162727,4733753310194262880
368698000,0,54.351883,-165.68655,S-AIS,20230212162727,4778855672193868432
303158000,0,54.670868,-165.1789,S-AIS,20230212162727,4887217112890856176
